Country Name,Country Code,2018
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,27400
Andorra,AND,470
Arab World,ARB,11232647.0079041
United Arab Emirates,ARE,71020
Argentina,ARG,2736690
Armenia,ARM,28470
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7692020
Austria,AUT,82522.998046875
Azerbaijan,AZE,82670
Burundi,BDI,25680
Belgium,BEL,30280
Benin,BEN,112760
Burkina Faso,BFA,273600
Bangladesh,BGD,130170
Bulgaria,BGR,108560
Bahrain,BHR,778.000030517578
"Bahamas, The",BHS,10010
Bosnia and Herzegovina,BIH,51200
Belarus,BLR,202988.0078125
Belize,BLZ,22810
Bermuda,BMU,54.0000009536743
Bolivia,BOL,1083300
Brazil,BRA,8358140
Barbados,BRB,430
Brunei Darussalam,BRN,5270
Bhutan,BTN,38143.9990234375
Botswana,BWA,566730
Central African Republic,CAF,622980
Canada,CAN,9093510
Central Europe and the Baltics,CEB,1105054.00146484
Switzerland,CHE,39516.0009765625
Channel Islands,CHI,197.999992370605
Chile,CHL,743532.03125
China,CHN,9388210
Cote d'Ivoire,CIV,318000
Cameroon,CMR,472710
"Congo, Dem. Rep.",COD,2267050
"Congo, Rep.",COG,341500
Colombia,COL,1109500
Comoros,COM,1861.00006103516
Cabo Verde,CPV,4030
Costa Rica,CRI,51060
Caribbean small states,CSS,404850
Cuba,CUB,104020
Curacao,CUW,
Cayman Islands,CYM,240
Cyprus,CYP,9240
Czech Republic,CZE,77220
Germany,DEU,349360
Djibouti,DJI,23180
Dominica,DMA,750
Denmark,DNK,41990
Dominican Republic,DOM,48310
Algeria,DZA,2381740
East Asia & Pacific (excluding high income),EAP,15913480
Early-demographic dividend,EAR,33107751.999054
East Asia & Pacific,EAS,24396748.4039211
Europe & Central Asia (excluding high income),ECA,22381208.0078125
Europe & Central Asia,ECS,27429224.5884323
Ecuador,ECU,248360
"Egypt, Arab Rep.",EGY,995450
Euro area,EMU,2678923.57177734
Eritrea,ERI,101000
Spain,ESP,499563.984375
Estonia,EST,43470
Ethiopia,ETH,1000000
European Union,EUU,3996763.57177734
Fragile and conflict affected situations,FCS,16563679.0078735
Finland,FIN,303910
Fiji,FJI,18270
France,FRA,547556.9921875
Faroe Islands,FRO,1396.00006103516
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,257670
United Kingdom,GBR,241930
Georgia,GEO,69490
Ghana,GHA,227540
Gibraltar,GIB,10
Guinea,GIN,245720
"Gambia, The",GMB,10120
Guinea-Bissau,GNB,28120
Equatorial Guinea,GNQ,28050
Greece,GRC,128900
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,107160
Guam,GUM,540
Guyana,GUY,196850
High income,HIC,35377039.0158224
"Hong Kong SAR, China",HKG,1050
Honduras,HND,111890
Heavily indebted poor countries (HIPC),HPC,17378791.000061
Croatia,HRV,55960
Haiti,HTI,27560
Hungary,HUN,90530
IBRD only,IBD,70965258.046875
IDA & IBRD total,IBT,93329453.0459595
IDA total,IDA,22364194.9990845
IDA blend,IDB,4369370
Indonesia,IDN,1811570
IDA only,IDX,17994824.9990845
Isle of Man,IMN,570
India,IND,2973190
Not classified,INX,
Ireland,IRL,68890
"Iran, Islamic Rep.",IRN,1628760
Iraq,IRQ,434128.0078125
Iceland,ISL,100250
Israel,ISR,21640
Italy,ITA,294140
Jamaica,JAM,10830
Jordan,JOR,88780
Japan,JPN,364560
Kazakhstan,KAZ,2699700
Kenya,KEN,569140
Kyrgyz Republic,KGZ,191800
Cambodia,KHM,176520
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,97489.00390625
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,19018930
Lao PDR,LAO,230800
Lebanon,LBN,10230
Liberia,LBR,96320
Libya,LBY,1759540
St. Lucia,LCA,610
Latin America & Caribbean,LCN,20038832.03125
Least developed countries: UN classification,LDC,17762824.9990845
Low income,LIC,12509460
